category,time
NO,0
NO,1.0
NO,2.0
NO,3.0
NO,4.0
NO,5.0
NO,6.0
NO,7.0
NO,8.0
NO,9.0
NO,10.0
NO,11.0
NO,12.0
NO,13.0
NO,14.0
NO,15.0
NO,16.0
NO,17.0
NO,18.0
NO,19.0
NO,20.0
NO,21.0
NO,22.0
NO,23.0
NO,24.0
NO,25.0
NO,26.0
NO,27.0
NO,28.0
NO,29.0
NO,30.0
NO,31.0
NO,32.0
NO,33.0
NO,34.0
NO,35.0
NO,36.0
NO,37.0
NO,38.0
NO,39.0
NO,40.0
NO,41.0
NO,42.0
NO,43.0
NO,44.0
NO,45.0
NO,46.0
NO,47.0
NO,48.0
NO,49.0
NO,50.0
NO,51.0
NO,52.0
NO,53.0
NO,54.0
NO,55.0
NO,56.0
NO,57.0
NO,58.0
NO,59.0
NO,60.0
